Subject,Start Date,Start Time,End Time,Description,Location
Freshers Days - Welcome by the Rector⸒ the Deans⸒ the Director and the Student Representatives,09/26/2022,09:00 AM,10:00 AM,PRESENTATION,BZ D0.01
Freshers Days - Welcome by the Dean and the Head of the Faculty Secretariat,09/26/2022,10:15 AM,10:45 AM,PRESENTATION | MARCO GOBBETTI,BZ D1.03
Freshers Days - Presentation of the Language Centre and the language paths at unibz,09/26/2022,02:00 PM,02:45 PM,PRESENTATION,BZ D0.01
Freshers Days - Info Session for International Degree-seeking Students (Advisory Service),09/26/2022,02:45 PM,04:00 PM,PRESENTATION,BZ D0.01
Freshers Days - Presentation of the Student Associations,09/26/2022,04:00 PM,05:00 PM,PRESENTATION,BZ D0.01
Mathematical Analysis I_LEC,09/27/2022,08:00 AM,10:00 AM,LECTURE | LAURA LEVAGGI,BZ C4.01
Freshers Days - Quick Guide to Our Services,09/27/2022,09:00 AM,10:00 AM,PRESENTATION,BZ D1.01
Freshers Days - Info Session about Study Grants (sh.asus - Südtiroler HochschülerInnenschaft),09/27/2022,10:00 AM,11:00 AM,PRESENTATION,BZ D1.01
Freshers Days - Introduction to Library and ICT Services (in English),09/27/2022,11:15 AM,12:15 AM,PRESENTATION,BZ D1.01
Mathematical Analysis I_LEC,09/28/2022,08:00 AM,10:00 AM,LECTURE | LAURA LEVAGGI,BZ C4.01
Physics I,09/28/2022,11:00 AM,01:00 PM,LECTURE | GIUSEPPE CANTARELLA,BZ E5.20
Linear Algebra_LEC,09/28/2022,02:00 PM,04:00 PM,LECTURE | GIOVANNI MODANESE,BZ E2.20
Mathematical Analysis I_LEC,09/29/2022,08:00 AM,10:00 AM,LECTURE | LAURA LEVAGGI,BZ D1.02
Linear Algebra_LEC,09/30/2022,08:00 AM,11:00 AM,LECTURE | LAURA LEVAGGI,BZ C4.01
Fundamentals of Programming I_LEC,10/03/2022,02:00 PM,04:00 PM,LECTURE | SERGIO TESSARIS,BZ E5.20
Physics I,10/03/2022,04:00 PM,06:00 PM,LECTURE | GIUSEPPE CANTARELLA,BZ E5.20
Mathematical Analysis I_LEC,10/04/2022,08:00 AM,10:00 AM,LECTURE | LAURA LEVAGGI,BZ C4.01
Linear Algebra_LEC,10/04/2022,10:00 AM,01:00 PM,LECTURE | GIOVANNI MODANESE,BZ C4.01
Fundamentals of Programming I_LEC,10/04/2022,02:00 PM,04:00 PM,LECTURE | SERGIO TESSARIS,BZ E5.20
Mathematical Analysis I_LEC,10/05/2022,08:00 AM,10:00 AM,LECTURE | LAURA LEVAGGI,BZ C4.01
Physics I,10/05/2022,11:00 AM,01:00 PM,LECTURE | GIUSEPPE CANTARELLA,BZ E5.20
Linear Algebra_LEC,10/05/2022,02:00 PM,04:00 PM,LECTURE | LAURA LEVAGGI,BZ D1.02
Mathematical Analysis I_LEC,10/06/2022,08:00 AM,10:00 AM,LECTURE | LAURA LEVAGGI,BZ D1.02
Fundamentals of Programming I_LAB,10/07/2022,08:00 AM,10:00 AM,EXERCISE | SARAH MARIA WINKLER,BZ E5.20
Linear Algebra_LAB,10/07/2022,10:00 AM,01:00 PM,EXERCISE | GIOVANNI MODANESE,BZ E5.20
Mathematical Analysis I_LEC,10/07/2022,02:00 PM,04:00 PM,LECTURE | LAURA LEVAGGI,BZ C4.01
Fundamentals of Programming I_LEC,10/10/2022,02:00 PM,04:00 PM,LECTURE | SERGIO TESSARIS,BZ E5.20
Physics I,10/10/2022,04:00 PM,06:00 PM,LECTURE | GIUSEPPE CANTARELLA,BZ E5.20
Mathematical Analysis I_LEC,10/11/2022,08:00 AM,10:00 AM,LECTURE | LAURA LEVAGGI,BZ C4.01
Linear Algebra_LEC,10/11/2022,10:00 AM,01:00 PM,LECTURE | GIOVANNI MODANESE,BZ C4.01
Fundamentals of Programming I_LEC,10/11/2022,02:00 PM,04:00 PM,LECTURE | SERGIO TESSARIS,BZ E5.20
Mathematical Analysis I_LEC,10/12/2022,08:00 AM,10:00 AM,LECTURE | LAURA LEVAGGI,BZ C4.01
Physics I_LAB,10/12/2022,11:00 AM,01:00 PM,EXERCISE | GIUSEPPE CANTARELLA,BZ E5.20
Linear Algebra_LEC,10/12/2022,02:00 PM,04:00 PM,LECTURE | LAURA LEVAGGI,BZ D1.02
Mathematical Analysis I_LEC,10/13/2022,08:00 AM,10:00 AM,LECTURE | LAURA LEVAGGI,BZ D1.02
Physics I,10/13/2022,10:00 AM,12:00 AM,LECTURE | GIUSEPPE CANTARELLA,BZ E5.20
Mathematical Analysis I_LEC,10/14/2022,02:00 PM,04:00 PM,LECTURE | LAURA LEVAGGI,BZ C4.01
Fundamentals of Programming I_LEC,10/17/2022,02:00 PM,04:00 PM,LECTURE | SERGIO TESSARIS,BZ E5.20
Physics I,10/17/2022,04:00 PM,06:00 PM,LECTURE | GIUSEPPE CANTARELLA,BZ E5.20
Mathematical Analysis I_LEC,10/18/2022,08:00 AM,10:00 AM,LECTURE | LAURA LEVAGGI,BZ C4.01
Linear Algebra_LEC,10/18/2022,10:00 AM,01:00 PM,LECTURE | GIOVANNI MODANESE,BZ C4.01
