Subject,Start Date,Start Time,End Time,Description,Location
Preparatory Course in Mathematics,09/28/2022,10:00 AM,12:00 AM,LECTURE | ALESSANDRO GIANOLA,BZ C4.01
Preparatory Course in Mathematics,09/28/2022,02:00 PM,04:00 PM,LECTURE | ALESSANDRO GIANOLA,BZ E4.22
Preparatory Course in Mathematics,09/29/2022,10:00 AM,12:00 AM,LECTURE | ALESSANDRO GIANOLA,BZ C2.01
Introduction to Programming/Computer Programming,09/29/2022,02:00 PM,04:00 PM,LECTURE | FRANCESCO RICCI,BZ C3.06
Preparatory Course in Mathematics,09/30/2022,10:00 AM,12:00 AM,LECTURE | ALESSANDRO GIANOLA,BZ C2.01
Introduction to Programming/Computer Programming,09/30/2022,02:00 PM,04:00 PM,LECTURE | FRANCESCO RICCI,BZ C3.06
Preparatory Course in Mathematics,10/03/2022,02:00 PM,04:00 PM,LECTURE | ALESSANDRO GIANOLA,BZ E2.22
Preparatory Course in Mathematics,10/04/2022,10:00 AM,12:00 AM,LECTURE | ALESSANDRO GIANOLA,BZ C3.06
Introduction to Programming/Computer Programming,10/04/2022,02:00 PM,04:00 PM,LECTURE | FRANCESCO RICCI,BZ C3.06
English for Computer Scientists 1 - Group A,10/04/2022,04:00 PM,06:00 PM,LECTURE | JEMMA F. PRIOR,BZ C3.06
Preparatory Course in Mathematics,10/05/2022,10:00 AM,12:00 AM,LECTURE | ALESSANDRO GIANOLA,BZ E2.22
Preparatory Course in Mathematics,10/05/2022,02:00 PM,04:00 PM,LECTURE | ALESSANDRO GIANOLA,BZ E2.22
Preparatory Course in Mathematics,10/06/2022,10:00 AM,12:00 AM,LECTURE | ALESSANDRO GIANOLA,BZ C2.01
Introduction to Programming/Computer Programming,10/06/2022,02:00 PM,04:00 PM,LECTURE | FRANCESCO RICCI,BZ F0.03
Intro to Programming/Computer Programming LAB A,10/06/2022,04:00 PM,05:00 PM,LABORATORY | DAVID MASSIMO,BZ RAINERUM SALA AZZURRA
Intro to Programming/Computer Programming LAB B,10/06/2022,04:00 PM,05:00 PM,LABORATORY | MARINA ANDRIC,BZ D0.03
Preparatory Course in Mathematics,10/07/2022,10:00 AM,12:00 AM,LECTURE | ALESSANDRO GIANOLA,BZ C2.01
Introduction to Programming/Computer Programming,10/07/2022,02:00 PM,04:00 PM,LECTURE | FRANCESCO RICCI,BZ C2.01
Discrete Mathematics,10/10/2022,02:00 PM,04:00 PM,LECTURE | OLIVER KUTZ,BZ C3.06
Discrete Mathematics Lab A,10/10/2022,04:00 PM,06:00 PM,LABORATORY | OLIVER KUTZ,BZ C3.06
Computer Systems Architecture,10/11/2022,08:00 AM,10:00 AM,LECTURE | NICOLA GIGANTE,BZ C3.06
Introduction to Programming/Computer Programming,10/11/2022,10:00 AM,12:00 AM,LECTURE | FRANCESCO RICCI,BZ C3.06
Intro to Programming/Computer Programming LAB A,10/11/2022,02:00 PM,04:00 PM,LABORATORY | DAVID MASSIMO,BZ C2.02
Intro to Programming/Computer Programming LAB B,10/11/2022,02:00 PM,04:00 PM,LABORATORY | MARINA ANDRIC,BZ C3.06
English for Computer Scientists 1 - Group A,10/11/2022,04:00 PM,06:00 PM,LECTURE | JEMMA F. PRIOR,BZ C3.06
English for Computer Scientists 1 - Group B,10/11/2022,04:00 PM,06:00 PM,LECTURE | PETER JAMES BRANNICK,BZ C2.02
Computer Systems Architecture,10/12/2022,08:00 AM,10:00 AM,LECTURE | NICOLA GIGANTE,BZ C3.06
Discrete Mathematics,10/12/2022,10:00 AM,12:00 AM,LECTURE | OLIVER KUTZ,BZ C3.06
English for Computer Scientists 1 - Group B,10/12/2022,04:00 PM,06:00 PM,LECTURE | PETER JAMES BRANNICK,BZ RAINERUM SALA AZZURRA
Introduction to Programming/Computer Programming,10/13/2022,10:00 AM,12:00 AM,LECTURE | FRANCESCO RICCI,BZ C2.01
Intro to Programming/Computer Programming LAB A,10/13/2022,02:00 PM,03:00 PM,LABORATORY | DAVID MASSIMO,BZ RAINERUM SALA AZZURRA
Intro to Programming/Computer Programming LAB B,10/13/2022,02:00 PM,03:00 PM,LABORATORY | MARINA ANDRIC,BZ D0.03
Preparatory Course in Mathematics - Test OFA,10/14/2022,08:00 AM,10:00 AM,EXAM | ALESSANDRO GIANOLA,BZ E2.22
Introduction to Programming/Computer Programming,10/14/2022,10:00 AM,12:00 AM,LECTURE | FRANCESCO RICCI,BZ C2.01
Discrete Mathematics,10/17/2022,02:00 PM,04:00 PM,LECTURE | OLIVER KUTZ,BZ C3.06
Discrete Mathematics Lab A,10/17/2022,04:00 PM,06:00 PM,LABORATORY | OLIVER KUTZ,BZ C3.06
