Subject,Start Date,Start Time,End Time,Description,Location
Direktes Praktikum 5 - 5. Jahr,09/26/2022,08:00 AM,06:00 PM,INTERNSHIP,
Direktes Praktikum 5 - 5. Jahr LADIN,09/26/2022,08:00 AM,06:00 PM,INTERNSHIP,
Pädagogik und Didaktik der Bewegung: inhaltliche Vertiefung (lez.) - 3. SFP,09/26/2022,08:45 AM,10:45 AM,LECTURE | BENJAMIN NIEDERKOFLER,BX A2.04
WELCOME DAY,09/26/2022,09:00 AM,10:00 AM,EVENT,BK A-1.02
Welcome by the Rector,09/26/2022,09:00 AM,10:00 AM,PRESENTATION,
Freshers Days - Welcome by the Rector⸒ the Deans⸒ the Director and the Student Representatives,09/26/2022,09:00 AM,10:00 AM,PRESENTATION,BZ D0.01
Welcome by the Rector⸒ Dean⸒ Head of the Faculty Secretariat,09/26/2022,09:00 AM,10:45 AM,EVENT,BZ D0.01
Pädagogische Psychologie und Lernpsychologie für Kindheit und Jugend⸒ 2. Jahr,09/26/2022,09:30 AM,11:30 AM,LECTURE | MILVIA COTTINI,BX A1.50
Laboratorio di introduzione alla scrittura accademica (Laboratorio pratico),09/26/2022,09:30 AM,12:30 AM,OPTIONAL LABORATORY | VITO DE NARDIS,BX A1.12
42176 - Meccanica Razionale,09/26/2022,10:00 AM,12:00 AM,LECTURE | MARIA LETIZIA BERTOTTI,BZ E4.22
Media Pedagogy and Didactics/Pedagogia e didattica dei media (lez.) - 4. SFP,09/26/2022,10:00 AM,12:00 AM,LECTURE | ALESSANDRO EFREM COLOMBI,BX A2.24
Didaktik der Mathematik: inhaltliche Vertiefungen⸒ 4. Jahr,09/26/2022,10:00 AM,02:00 PM,LECTURE | MICHAEL GAIDOSCHIK,BX A1.51
Freshers Days - Welcome by the Dean and the Head of the Faculty Secretariat,09/26/2022,10:15 AM,10:45 AM,PRESENTATION | MARCO GOBBETTI,BZ D1.03
Medien und Gesellschaft - Mensa Gr. A,09/26/2022,10:30 AM,01:30 PM,LECTURE | CLAUS JOHANN TULLY,BX A2.60
Didaktik der Biologie und der Chemie: inhaltliche Vertiefung (lez.) - 3. SFP,09/26/2022,10:45 AM,12:45 AM,LECTURE | MITA DRIUS,BX A2.50
Freshers Days_LM70,09/26/2022,11:00 AM,12:00 AM,PRESENTATION,
Presentation Bachelor in Economics and Management (L18),09/26/2022,11:00 AM,12:00 AM,EVENT,BZ D0.01
Presentation Bachelor in Economics and Social Sciences (L-33),09/26/2022,11:00 AM,12:00 AM,EVENT,BZ D1.03
Presentation Master in Entrepreneurship and Innovation (LM77EI),09/26/2022,11:00 AM,12:00 AM,EVENT,BZ E4.12
Presentation Master in Public Policies and Administration (LM63),09/26/2022,11:00 AM,12:00 AM,EVENT,BZ E2.22
R-Erlebnistourismus: aktuelle Trends in der Lebensmittel- und Weinbranche,09/26/2022,11:30 AM,12:30 AM,OFFICE HOUR | GÜNTER SCHAMEL,BK A1.03
Entwicklungspsychologie für Kindheit und Jugend im Hinblick auf die Inklusion⸒ 2. Jahr,09/26/2022,11:30 AM,01:30 PM,LECTURE | PAULA DÖGE,BX A1.50
Didattica della fisica: approfondimenti tematici - 4. SFP,09/26/2022,12:00 AM,02:00 PM,LECTURE | FEDERICO CORNI,BX A2.24
Didattica della storia: approfondimenti tematici (lez.) - 3. SFP,09/26/2022,01:15 PM,03:15 PM,LECTURE | IVO MATTOZZI,BX A2.51
Presentation Language Centre,09/26/2022,02:00 PM,02:45 PM,EVENT,BZ D0.01
Freshers Days - Presentation of the Language Centre and the language paths at unibz,09/26/2022,02:00 PM,02:45 PM,PRESENTATION,BZ D0.01
Data Structures and Algorithms (BI),09/26/2022,02:00 PM,04:00 PM,LECTURE | PIETRO GALLIANI,BZ E2.22
R_25410_Diritto bancario e finanziario,09/26/2022,02:00 PM,04:00 PM,OFFICE HOUR | STEFANO LOMBARDO,BZ E3.02
44723 Quality of Horticultural Products,09/26/2022,02:00 PM,04:00 PM,LECTURE | CARLO ANDREOTTI,BZ E3.31
40200 Struktur und Funktion von Bergökosystemen,09/26/2022,02:00 PM,04:00 PM,LECTURE | CAMILLA WELLSTEIN,BZ D0.02
